,popularity,genre_ids,revenue,12,16,14,9648,35,878,28,10770,10402,10752,27,53,37,36,99,18,10749,10751,80
192,63.756,"[12, 16, 10751]",304320254.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
193,63.738,"[28, 12, 14, 878]",543934787.0,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
194,63.724,"[12, 14]",809342332.0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
195,63.543,"[28, 12, 878]",585174222.0,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
196,63.208999999999996,"[18, 878, 53]",246941965.0,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False
197,63.06,"[12, 14, 10749]",712171856.0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
198,63.01,"[28, 53]",325771424.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
199,62.934,"[12, 18, 14, 10749]",698491347.0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
200,62.793,"[28, 80, 18, 53]",5171088.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True
201,62.549,"[28, 878, 53]",2746207.0,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False
202,62.435,"[16, 18, 10749]",33748006.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
203,62.323,"[27, 9648, 53]",231252591.0,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
204,62.312,[27],441306145.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
205,62.228,"[18, 10402]",894027543.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
206,62.117,"[28, 27]",11750306.0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
207,61.782,"[28, 80, 9648]",3719383.0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
208,61.662,"[28, 878]",288175335.0,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
209,61.376999999999995,"[28, 878]",458863600.0,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
210,60.943999999999996,"[16, 10751, 12, 35]",295038508.0,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
211,60.857,"[12, 16, 35, 10751]",1023784195.0,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
212,60.816,"[28, 12, 35, 878]",477200000.0,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
213,60.74800000000001,"[35, 27]",19294901.0,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
214,60.667,"[18, 878, 10752]",488533726.0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
215,60.38,"[16, 35, 10751]",216909830.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
216,60.276,"[28, 12, 35, 878]",863756051.0,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
